Target,OR ID,Date of visit,Year
HD88111,PR300005_TG000101,22-02-2020,2020
HD88111,PR310080_TG0001,1/3/21,2021
HD88111,PR320089_TG000101,15-02-2022,2022
HD88111,PR320089_TG000201,18-02-2022,2022
HD88111,PR330096_TG0001,15-03-2023,2023
HD88111,PR330096_TG0002,5/3/23,2023
HD88111,PR340100_TG000101,18-02-2024,2024
HD88111,PR340100_TG000201,13-02-2024,2024
HD88111,PR350111_TG000201,23-02-2025,2025
HD88111,PR350111_TG000101,26-02-2025,2025
TYC5502-1037-1,PR300005_TG000501,21-03-2020,2020
TYC5502-1037-1,PR310080_TG0002,26-02-2021,2021
TYC5502-1037-1,PR320089_TG000301,28-02-2022,2022
TYC5502-1037-1,PR320089_TG000401,14-03-2022,2022
TYC5502-1037-1,PR330096_TG0003,31-03-2023,2023
TYC5502-1037-1,PR330096_TG0015,1/4/23,2023
TYC5502-1037-1,PR340100_TG001301,27-03-2024,2024
TYC5502-1037-1,PR340100_TG001401,28-03-2024,2024
TYC5502-1037-1,PR350111_TG000401,19-03-2025,2025
TYC5502-1037-1,PR350111_TG000301,19-03-2025,2025
HW Vir,PR300006_TG000101,27-02-2020,2020
HW Vir,PR300006_TG000102,27-02-2020,2020
HW Vir,PR300006_TG000103,27-02-2020,2020
HW Vir,PR300058_TG0002,27-02-2020,2020
HW Vir,PR310080_TG000301,12/2/21,2021
HW Vir,PR310080_TG000901,27-02-2021,2021
HW Vir,PR310080_TG001401,25-03-2021,2021
HW Vir,PR320089_TG001001,16-03-2022,2022
HW Vir,PR320089_TG001401,16-03-2022,2022
HW Vir,PR320089_TG001501,16-03-2022,2022
HW Vir,PR330096_TG0009,21-03-2023,2023
HW Vir,PR330096_TG0008,29-03-2023,2023
HW Vir,PR340100_TG000701,8/3/24,2024
HW Vir,PR340100_TG001501,15-04-2024,2024
HW Vir,PR340100_TG001601,27-04-2024,2024
HW Vir,PR340100_TG001801,29-04-2024,2024
HW Vir,PR340100_TG001802,1/5/24,2024
HW Vir,PR340100_TG001701,4/5/24,2024
Kelt-11b,PR300024_TG000101,9/3/20,2020
Kelt-11b,PR310080_TG0012,18-03-2021,2021
Kelt-11b,PR320089_TG000701,9/3/22,2022
Kelt-11b,PR320089_TG001301,6/4/22,2022
Kelt-11b,PR330096_TG0010,27-03-2023,2023
Kelt-11b,PR330096_TG0011,1/4/23,2023
Kelt-11b,PR340100_TG000801,26-02-2024,2024
Kelt-11b,PR350111_TG001301,21-03-2025,2025
Pollux,PR300050_TG0001,10/3/20,2020
Pollux,PR310080_TG0005,31-01-2021,2021
Pollux,PR330096_TG0012,5/3/23,2023
Pollux,PR340100_TG000901,11/2/24,2024
Pollux,PR350111_TG000701,5/3/25,2025
HD88742,PR300018_TG0001,18-02-2020,2020
HD88742,PR310080_TG0006,4/2/21,2021
HD88742,PR320089_TG0005,17-02-2022,2022
HD88742,PR330096_TG0007,2/3/23,2023
HD88742,PR340100_TG0006,12/2/24,2024
HD88742,PR350111_TG0009,16-02-2025,2025
HD 72769,PR300039_TG0001,21-02-2020,2020
HD 72769,PR310080_TG0011,24-02-2021,2021
HD 72769,PR320089_TG0009,25-02-2022,2022
HD 72769,PR320089_TG0011,3/6/22,2022
HD 72769,PR330096_TG0013,26-02-2023,2023
HD 72769,PR330096_TG0014,26-02-2023,2023
HD 72769,PR340100_TG001101,11/2/24,2024
HD 72769,PR340100_TG001001,11/2/24,2024
HD 72769,PR350111_TG001001,16-02-2025,2025
HD102438,PR330096_TG0006,15-03-2023,2023
HD102438,PR330096_TG0005,30-03-2023,2023
HD102438,PR340100_TG001201,26-02-2024,2024
HD102438,PR350111_TG000801,2/3/25,2025
GR_test,PR340100_TG002001,17/11/2024,2024
GR_test,PR350110_TG000301,10/2/25,2025
GR_test,PR350111_TG001401,28-10-2025,2025
